epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
187,4273.93,0.67539,0.42087,0.89394,0.99266,0.99035,0.995,0.75618,0.89348,0.41722,0.97661,0.00011332,0.00011332,0.00011332
188,4295.96,0.70716,0.4146,0.90675,0.99233,0.99058,0.995,0.75685,0.89525,0.42027,0.97802,0.000106246,0.000106246,0.000106246
189,4318,0.67559,0.41273,0.89507,0.99188,0.99148,0.995,0.75791,0.8973,0.42056,0.97822,9.91726e-05,9.91726e-05,9.91726e-05
190,4340.08,0.68353,0.43345,0.87995,0.99142,0.99164,0.995,0.75793,0.90034,0.42229,0.9789,9.20991e-05,9.20991e-05,9.20991e-05
191,4362.07,0.70487,0.54611,0.91774,0.99169,0.99671,0.995,0.75803,0.9025,0.42481,0.97959,8.50255e-05,8.50255e-05,8.50255e-05
192,4383.78,0.70208,0.52238,0.93028,0.99298,1,0.995,0.75747,0.90462,0.42833,0.97897,7.7952e-05,7.7952e-05,7.7952e-05
193,4407.72,0.7073,0.48132,0.89984,0.99354,1,0.995,0.7551,0.90395,0.42954,0.97702,7.08784e-05,7.08784e-05,7.08784e-05
194,4429.87,0.71497,0.49101,0.90447,0.99342,1,0.995,0.75484,0.90159,0.43116,0.97577,6.38049e-05,6.38049e-05,6.38049e-05
195,4451.66,0.67162,0.49336,0.87492,0.99312,1,0.995,0.75554,0.90011,0.4338,0.97414,5.67313e-05,5.67313e-05,5.67313e-05
196,4473.37,0.71462,0.52537,0.92205,0.99287,1,0.995,0.75407,0.89842,0.43563,0.97227,4.96578e-05,4.96578e-05,4.96578e-05
197,4495.11,0.66434,0.51557,0.91323,0.99278,1,0.995,0.74829,0.89743,0.43661,0.97174,4.25842e-05,4.25842e-05,4.25842e-05
198,4516.95,0.64241,0.49849,0.8688,0.99264,1,0.995,0.75994,0.89669,0.43669,0.97168,3.55107e-05,3.55107e-05,3.55107e-05
199,4538.73,0.65627,0.49122,0.88095,0.99286,1,0.995,0.76011,0.89608,0.4358,0.97206,2.84371e-05,2.84371e-05,2.84371e-05
200,4560.46,0.68891,0.50276,0.89578,0.99293,1,0.995,0.76482,0.89551,0.4344,0.9723,2.13636e-05,2.13636e-05,2.13636e-05
