epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8572,1.37049,4.06048,1.05602,0.00423,0.66288,0.01815,0.00835,1.1103,3.6745,0.83278,4.287e-05,4.287e-05,4.287e-05
2,44.8537,1.23026,3.73074,0.97713,0.00632,1,0.22303,0.13693,1.16288,3.52074,0.81713,9.80494e-05,9.80494e-05,9.80494e-05
3,66.8469,1.18022,2.82154,0.97413,0.0063,1,0.52679,0.33746,0.99497,3.38278,0.78431,0.000150965,0.000150965,0.000150965
4,89.1356,1.0992,2.15512,0.96391,0.00647,1,0.56011,0.34883,1.04226,3.36513,0.77837,0.000201618,0.000201618,0.000201618
5,111.818,1.01735,1.71038,0.96223,0.00657,1,0.56336,0.34158,0.99066,3.37722,0.76165,0.000250006,0.000250006,0.000250006
6,134.602,1.03827,1.57143,0.95865,0.00674,1,0.54588,0.33688,0.96249,3.34573,0.77705,0.000296132,0.000296132,0.000296132
7,157.515,1.05474,1.42638,0.97592,0.00695,1,0.45171,0.28015,1.04729,3.33945,0.80073,0.000339993,0.000339993,0.000339993
8,180.483,0.99385,1.30089,0.9535,0.00715,1,0.27987,0.17193,1.06369,3.38961,0.82087,0.000381592,0.000381592,0.000381592
9,203.447,1.05223,1.28967,0.97365,0.00767,1,0.06063,0.04078,1.00752,3.38147,0.82612,0.000420926,0.000420926,0.000420926
10,226.312,0.98725,1.24885,0.94875,0.00721,1,0.01477,0.00862,0.99666,3.33366,0.80821,0.000457997,0.000457997,0.000457997
11,249.467,0.92152,1.08141,0.95033,0.00743,1,0.05794,0.03277,1.01821,3.25785,0.81719,0.000492805,0.000492805,0.000492805
12,272.867,0.94435,1.08477,0.95495,0.00739,1,0.30538,0.17544,1.03717,3.27656,0.82166,0.000525349,0.000525349,0.000525349
13,296.52,0.99666,1.16328,0.96365,0.00731,1,0.79641,0.54194,1.00785,3.07545,0.81231,0.000555629,0.000555629,0.000555629
14,319.647,0.97783,1.09457,0.94738,0.00692,1,0.95001,0.64194,1.00464,3.03487,0.81597,0.000583646,0.000583646,0.000583646
15,342.856,0.9535,1.12194,0.96548,0.00642,1,0.90898,0.64042,0.95684,2.96301,0.79754,0.0006094,0.0006094,0.0006094
16,365.923,0.98805,1.04462,0.9488,0.00639,1,0.97934,0.67404,0.98657,2.74761,0.82832,0.00063289,0.00063289,0.00063289
17,389.004,0.9754,1.06743,0.97885,0.95676,0.9685,0.98688,0.68054,1.00777,2.57763,0.85167,0.000654116,0.000654116,0.000654116
18,412.2,0.97702,0.99345,0.94869,0.00629,1,0.995,0.6841,1.02188,2.52021,0.86969,0.000673079,0.000673079,0.000673079
19,435.281,1.02272,1.00065,0.96572,0.36712,1,0.995,0.70134,1.03452,2.39835,0.87577,0.000689778,0.000689778,0.000689778
20,458.424,0.97269,0.92581,0.96935,1,0.66952,0.995,0.69483,1.0448,2.19749,0.90168,0.000704214,0.000704214,0.000704214
