epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2533,1.37049,4.06048,1.05602,0.00423,0.66288,0.01815,0.00835,1.1103,3.6745,0.83278,4.287e-05,4.287e-05,4.287e-05
2,52.2646,1.22722,3.76762,0.97609,0.00632,1,0.18394,0.11437,1.14734,3.53004,0.81731,8.02241e-05,8.02241e-05,8.02241e-05
3,83.5785,1.14741,3.10417,0.96535,0.00627,1,0.49029,0.31619,1.00672,3.39588,0.79858,9.49428e-05,9.49428e-05,9.49428e-05
4,110.215,1.14445,2.48291,0.9557,0.00636,1,0.52812,0.3109,1.01736,3.35155,0.78705,8.70261e-05,8.70261e-05,8.70261e-05
5,138.383,1.004,1.93453,0.92073,0.00642,1,0.54055,0.33583,1.00625,3.33079,0.77893,5.64741e-05,5.64741e-05,5.64741e-05
